name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24
province_of_ontario_00000_3_8_percent,461015,35305,0.07658102230946932,37.9,37.6,20645,0.044781623157597907,391490,39040,335515,42280,20.8,35360,42320,11.1,54520,0.11826079411732807,39000,0.08459594590197717,4.6636732391922085e-4,215,4.555215722001692e-4,210,0,0,0,0,0.8634194486019826,398045,282730,0.6844768314530577,41225,0.1458104905740459,32480,0.10327011430297442,282040,0.896745783189991,234980,0.7471185794000286,69365,0.2872197262996625,33145,0.13724353533053146,0.125500942951438,9435,0.020465711527824473,63240,0.13717557997028296
ottawa_census_division_3506_00000_3_1_percent,31305,1815,0.05797795879252515,36,36.8,1515,0.048394825107810256,25895,42080,22520,46320,18.5,37800,44560,11.7,3985,0.12729595911196295,1600,0.05111004631847948,4.792332268370607e-4,15,4.792332268370607e-4,15,0,0,0,0,0.8573482428115016,26835,19495,0.7082652134423252,2710,0.1390100025647602,1890,0.09248837778321507,18550,0.9077563004648886,15985,0.7822363591876682,5875,0.3499106611078023,1595,0.09499702203692674,0.0660772452303397,3850,0.12298354895384124,5275,0.16850343395623701
ottawa_ons2022_admaston_bromley_3701_00000_3_2_percent,0,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA
ottawa_ons2022_airport_3001_00000_6_7_percent,0,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA
ottawa_ons2022_akwesasne_part_59_3801_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_ons2022_alfred_and_plantagenet_3601_00000_3_2_percent,10,0,0,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,10,1,10,1,0,NA,0,NA,NA,0,0,0,0
ottawa_ons2022_alta_vista_3002_00000_2_8_percent,105,0,0,39.2,39.2,0,0,100,51000,85,68000,7.6,51000,76000,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0.8181818181818182,90,70,0.7,10,0.14285714285714285,0,0,70,1,70,1,25,0.35714285714285715,0,0,0,0,0,20,0.19047619047619047
ottawa_ons2022_arnprior_3702_00000_2_5_percent,60,0,0,41,39.6,0,0,50,58000,45,72000,19,56000,70000,10,0,0,0,0,0,0,0,0,0,0,0,0,0.6363636363636364,35,40,0.8,0,0,0,0,35,0.7777777777777778,30,0.6666666666666666,15,0.42857142857142855,10,0.2857142857142857,0.5,0,0,0,0
ottawa_ons2022_bayshore_3003_00000_5_4_percent,875,45,0.05142857142857143,34.4,33.6,25,0.02857142857142857,735,32500,570,31500,31.1,28850,32000,20,145,0.1657142857142857,50,0.05714285714285714,0,0,0,0,0,0,0,0,0.9828571428571429,860,470,0.6064516129032258,90,0.19148936170212766,115,0.21296296296296297,425,0.7870370370370371,330,0.6111111111111112,80,0.21052631578947367,35,0.09210526315789473,0.1,90,0.10285714285714286,185,0.21142857142857144
ottawa_ons2022_beacon_hill_south_cardinal_heights_3004_00000_3_4_percent,370,35,0.0945945945945946,39,35.6,20,0.05405405405405406,340,35800,290,36000,22.2,30600,34000,11.7,25,0.0684931506849315,10,0.02702702702702703,0,0,0,0,0,0,0,0,0.8493150684931506,310,275,0.7857142857142857,50,0.18181818181818182,25,0.10416666666666667,210,0.875,170,0.7083333333333334,60,0.26666666666666666,25,0.1111111111111111,0.058823529411764705,70,0.1891891891891892,80,0.21621621621621623
