ONS_ID,name,value,value_round
3002,total_population,7775,7775
3002,number_of_youth_age_15_24,1010,1010
3002,percent_of_of_pop_that_are_youth_age_15_24,0.12990353697749196,0.1299
3002,percent_of_pop_that_are_seniors_65,0.1954983922829582,0.1955
3002,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,0.02636655948553054,0.0264
3002,percent_of_pop_that_are_immigrants,0.20643086816720255,0.2064
3002,percent_of_pop_that_are_indigenous,0.00964630225080386,0.0096
3002,percent_of_pop_that_are_fn,0.00321543408360128,0.0032
3002,percent_of_pop_that_are_metis,0.00643086816720257,0.0064
3002,percent_of_pop_that_are_inuit,0,0
3002,percent_of_pop_that_are_racialized,0.21864951768488747,0.2186
3002,percent_of_pop_that_are_refugees,0.01864951768488746,0.0186
3002,percent_of_immigrants_that_are_refugees,0.13302752293577982,0.133
3002,percent_of_renter_households,0.2107843137254902,0.2108
3002,percent_of_pop_with_knowledge_of_neither_english_nor_french,0.00707850707850707,0.0071
3002,percent_of_pop_age_25_64_with_no_high_school_diploma_or_equivalent,0.03387703889585947,0.0339
3002,percent_of_pop_living_alone,0.0842443729903537,0.0842
3002,percent_of_census_families_that_are_one_parent_families,0.10065645514223195,0.1007
3002,unemployment_rate,8.6,8.6
3002,average_after_tax_income_in_2020_among_recipients,64000,64000
3002,average_market_income_in_2020_among_recipients,83800,83800
3002,average_after_tax_income_in_2019_among_recipients,63550,63550
3002,average_market_income_in_2019_among_recipients,80700,80700
3002,percent_of_income_from_government_transfers_2019,6.2,6.2
3002,percent_of_income_from_government_transfers_2020,8.6,8.6
3002,percent_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,0.8444165621079046,0.8444
3002,number_of_refugees,145,145
3002,percent_of_households_living_in_core_housing_need,0.04697986577181208,0.047
3002,number_of_households_living_in_core_housing_need,140,140
3002,percent_of_owner_households_in_core_housing_need,2.5,2.5
3002,percent_of_renter_households_in_core_housing_need,13.4,13.4
3002,percent_of_owner_households,0.7859477124183006,0.7859
3002,number_of_people_in_low_income_based_on_lim_at,390,390
3002,percent_of_people_in_low_income_based_on_lim_at,0.05016077170418006,0.0502
3002,number_of_people_0_17_in_low_income_based_on_lim_at,60,60
3002,percent_of_people_0_17_in_low_income_based_on_lim_at,0.03858520900321544,0.0386
3002,number_of_people_18_64_in_low_income_based_on_lim_at,245,245
3002,percent_of_people_18_64_in_low_income_based_on_lim_at,0.05212765957446808,0.0521
3002,number_of_people_65_in_low_income_based_on_lim_at,85,85
3002,percent_of_people_65_in_low_income_based_on_lim_at,0.0561056105610561,0.0561
3002,number_living_alone,655,655
3002,number_of_one_parent_families,230,230
3002,average_after_tax_income_of_one_parent_economic_families,91000,91000
3002,average_after_tax_income_of_all_economic_families,158000,158000
3002,average_after_tax_income_of_couple_with_children_economic_families,172000,172000
3002,average_age_of_the_population,42.4,42.4
3002,median_age_of_the_population,43.6,43.6
3002,number_of_seniors_65,19.5,19.5
3002,number_of_children_living_in_one_parent_families,325,325
3002,percent_of_children_living_in_one_parent_families,0.14412416851441243,0.1441
3002,number_of_people_who_are_indigenous,75,75
3002,number_of_people_who_are_fn,25,25
3002,number_of_people_who_are_metis,50,50
3002,number_of_people_who_are_inuit,0,0
3002,number_of_immigrants,1605,1605
3002,number_of_recent_immigrants_arr_2016_2021,205,205
3002,average_household_size,2.5,2.5
3002,average_number_of_children_in_census_families_with_children,1.8,1.8
3002,number_of_people_with_knowledge_of_neither_english_nor_french,55,55
3002,number_of_people_with_french_as_a_language_most_spoken_at_home,785,785
3002,percent_of_people_with_french_as_a_language_most_spoken_at_home,0.10102960102960104,0.101
3002,number_of_people_with_knowledge_of_only_french_as_an_official_language,65,65
3002,percent_of_people_with_knowledge_of_only_french_as_an_official_language,0.00836550836550836,0.0084
3002,average_size_of_census_families,2.9,2.9
3002,number_of_workers_age_15_who_commute_by_car_truck_or_van,1365,1365
3002,percent_of_workers_age_15_who_commute_by_car_truck_or_van,0.7562326869806094,0.7562
3002,number_of_workers_age_15_who_commute_by_public_transit,120,120
3002,percent_of_workers_age_15_who_commute_by_public_transit,0.0664819944598338,0.0665
3002,number_of_workers_age_15_who_commute_by_walking,180,180
3002,percent_of_workers_age_15_who_commute_by_walking,0.0997229916897507,0.0997
3002,number_of_workers_age_15_who_commute_by_bicycle,55,55
3002,percent_of_workers_age_15_who_commute_by_bicycle,0.03047091412742382,0.0305
3002,number_of_workers_age_15_who_commute_by_other_means,85,85
3002,percent_of_workers_age_15_who_commute_by_other_means,0.04709141274238227,0.0471
3002,number_of_workers_age_15_who_work_at_home,2060,2060
3002,percent_of_workers_age_15_who_work_at_home,2060,2060
3002,number_of_workers_age_15_who_have_no_fixed_workplace_address,330,330
3002,percent_of_workers_age_15_who_have_no_fixed_workplace_address,330,330
3002,average_monthly_shelter_costs_for_rented_dwellings,1580,1580
3002,median_monthly_shelter_costs_for_rented_dwellings,1470,1470
3002,average_monthly_shelter_costs_for_owned_dwellings,1866,1866
3002,median_monthly_shelter_costs_for_owned_dwellings,1370,1370
3002,percent_of_people_age_25_64_with_a_high_school_diploma,0.9661229611041404,0.9661
3002,percent_of_workers_who_commute_for_60_minutes_and_over,0.01939058171745152,0.0194
3002,number_of_people_who_are_racialized,1700,1700
3002,number_self_identified_as_south_asian,305,305
3002,number_self_identified_as_chinese,280,280
3002,number_self_identified_as_black,165,165
3002,number_self_identified_as_filipino,0,0
3002,number_self_identified_as_arab,570,570
3002,number_self_identified_as_latin_american,30,30
3002,number_self_identified_as_southeast_asian,35,35
3002,number_self_identified_as_west_asian,160,160
3002,number_self_identified_as_korean,25,25
3002,number_self_identified_as_japanese,35,35
3002,number_self_identified_with_other_visible_minority,15,15
3002,number_self_identified_with_multiple_visible_minorities,50,50
3002,number_of_people_who_are_non_racialized,6075,6075
3002,percent_self_identified_as_south_asian,0.03922829581993569,0.0392
3002,percent_self_identified_as_chinese,0.0360128617363344,0.036
3002,percent_self_identified_as_black,0.02122186495176849,0.0212
3002,percent_self_identified_as_filipino,0,0
3002,percent_self_identified_as_arab,0.07331189710610933,0.0733
3002,percent_self_identified_as_latin_american,0.00385852090032154,0.0039
3002,percent_self_identified_as_southeast_asian,0.0045016077170418,0.0045
3002,percent_self_identified_as_west_asian,0.02057877813504823,0.0206
3002,percent_self_identified_as_korean,0.00321543408360128,0.0032
3002,percent_self_identified_as_japanese,0.0045016077170418,0.0045
3002,percent_self_identified_with_other_visible_minority,0.00192926045016077,0.0019
3002,percent_self_identified_with_multiple_visible_minorities,0.00643086816720257,0.0064
3002,percent_of_people_who_are_non_racialized,0.7813504823151125,0.7814
3002,number_households_2020_at_income_under_10_000,50,50
3002,number_households_2020_at_income_10_000_19_999,35,35
3002,number_households_2020_at_income_20_000_to_29_999,85,85
3002,number_households_2020_at_income_30_000_to_39_999,140,140
3002,number_households_2020_at_income_40_000_to_49_999,115,115
3002,number_households_2020_at_income_50_000_to_59_999,140,140
3002,number_households_2020_at_income_60_000_to_69_999,200,200
3002,number_households_2020_at_income_70_000_to_79_999,175,175
3002,number_households_2020_at_income_80_000_to_89_999,185,185
3002,number_households_2020_at_income_90_000_to_99_999,190,190
3002,number_households_2020_at_income_100_000_to_124_999,345,345
3002,number_households_2020_at_income_125_000_to_149_999,325,325
