VAR_ID,name,value
VAR2,3002,Q3
VAR2,3003,Q2
VAR2,3004,Q4
VAR2,3005,Q4
VAR2,3007,Q3
VAR2,3008,Q4
VAR2,3009,Q5
VAR2,3010,Q4
VAR2,3011,Q2
VAR2,3012,Q5
VAR2,3013,Q4
VAR2,3014,Q3
VAR2,3015,Q2
VAR2,3016,Q2
VAR2,3017,Q1
VAR2,3018,Q3
VAR2,3020,Q2
VAR2,3021,Q3
VAR2,3022,Q3
VAR2,3023,Q4
VAR2,3024,Q3
VAR2,3025,Q4
VAR2,3026,Q2
VAR2,3027,Q3
VAR2,3028,Q1
VAR2,3029,Q2
VAR2,3031,Q1
VAR2,3032,Q5
VAR2,3033,Q1
VAR2,3034,Q3
VAR2,3035,Q3
VAR2,3036,Q5
VAR2,3037,Q4
VAR2,3038,Q1
VAR2,3039,Q5
VAR2,3040,Q3
VAR2,3041,Q2
VAR2,3043,Q5
VAR2,3044,Q1
VAR2,3045,Q4
VAR2,3046,Q4
VAR2,3047,Q5
VAR2,3048,Q1
VAR2,3049,Q2
VAR2,3050,Q1
VAR2,3052,Q3
VAR2,3053,Q3
VAR2,3054,Q2
VAR2,3055,Q3
VAR2,3056,Q5
VAR2,3058,Q2
VAR2,3059,Q4
VAR2,3060,Q3
VAR2,3061,Q5
VAR2,3062,Q1
VAR2,3063,Q3
VAR2,3065,Q2
VAR2,3066,Q4
VAR2,3067,Q2
VAR2,3068,Q1
VAR2,3069,Q4
VAR2,3070,Q4
VAR2,3071,Q1
VAR2,3072,Q5
VAR2,3073,Q3
VAR2,3075,Q5
VAR2,3074,Q2
VAR2,3076,Q1
VAR2,3077,Q4
VAR2,3078,Q5
VAR2,3079,Q3
VAR2,3080,Q4
VAR2,3081,Q4
VAR2,3082,Q1
VAR2,3083,Q3
VAR2,3085,Q5
VAR2,3086,Q5
VAR2,3087,Q2
VAR2,3088,Q1
VAR2,3089,Q4
VAR2,3090,Q5
VAR2,3091,Q2
VAR2,3092,Q2
VAR2,3093,Q1
VAR2,3094,Q5
VAR2,3095,Q5
VAR2,3097,Q3
VAR2,3098,Q1
VAR2,3099,Q5
VAR2,3100,Q2
VAR2,3101,Q3
VAR2,3102,Q5
VAR2,3103,Q4
VAR2,3104,Q2
VAR2,3105,Q1
VAR2,3106,Q2
VAR2,3107,Q1
VAR2,3108,Q1
VAR2,3109,Q1
VAR2,3110,Q4
VAR2,3111,Q1
VAR2,3112,Q4
VAR2,3113,Q1
VAR2,3114,Q2
VAR2,3115,Q5
VAR2,3116,Q5
VAR2,3117,Q5
VAR9,3002,Q3
VAR9,3003,Q3
VAR9,3004,Q4
VAR9,3005,Q2
VAR9,3007,Q1
VAR9,3008,Q4
VAR9,3009,Q5
VAR9,3010,Q3
VAR9,3011,Q2
VAR9,3012,Q4
VAR9,3013,Q4
VAR9,3014,Q2
VAR9,3015,Q5
VAR9,3016,Q1
VAR9,3017,Q2
VAR9,3018,Q4
VAR9,3020,Q4
VAR9,3021,Q1
VAR9,3022,Q4
VAR9,3023,Q3
VAR9,3024,Q5
VAR9,3025,Q2
VAR9,3026,Q1
VAR9,3027,Q1
VAR9,3028,Q3
